,,logo_url,help_link,transit_score,summary,ws_link,description
-84.42966307692308,33.80031,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,35,"3 nearby routes: 3 bus, 0 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.8003/lng=-84.4297/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Some Transit
-84.42966307692308,33.8111,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,33,"3 nearby routes: 3 bus, 0 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.8111/lng=-84.4297/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Some Transit
-84.42824181818182,33.7032,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,62,"10 nearby routes: 8 bus, 2 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7032/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Good Transit
-84.42824181818182,33.71399,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,63,"7 nearby routes: 5 bus, 2 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7140/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Good Transit
-84.42824181818182,33.72478,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,60,"9 nearby routes: 7 bus, 2 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7248/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Good Transit
-84.42824181818182,33.73557,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,52,"8 nearby routes: 6 bus, 2 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7356/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Good Transit
-84.42824181818182,33.74636,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,47,"7 nearby routes: 5 bus, 2 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7464/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Some Transit
-84.42824181818182,33.75715,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,53,"8 nearby routes: 6 bus, 2 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7572/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Good Transit
-84.42824181818182,33.76794,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,53,"7 nearby routes: 6 bus, 1 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7679/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Good Transit
-84.42824181818182,33.77873,https://cdn.walk.sc/images/transit-score-logo.png,https://www.redfin.com/how-walk-score-works,49,"6 nearby routes: 5 bus, 1 rail, 0 other",https://www.walkscore.com/score/loc/lat=33.7787/lng=-84.4282/?utm_source=gmail.com&utm_medium=ts_api&utm_campaign=ts_api,Some Transit
